"gene_id","gene_name","n_targets","best_target","delta_corr","pseudotime_target","n_NORMAL","n_PRIMARY","n_MET","iso_up_id","iso_up_name","iso_down_id","iso_down_name","iso_up_corr","iso_down_corr"
"ENSG00000073803.14","MAP3K13",48,"CAMP_UP.V1_UP",1.46380372855776,FALSE,22,0,32,"ENST00000448876.5","MAP3K13-212","ENST00000265026.8","MAP3K13-201",0.746733988443021,-0.717069740114743
"ENSG00000144559.11","TAMM41",48,"CAMP_UP.V1_UP",1.42565966613522,FALSE,0,0,34,"ENST00000455809.6","TAMM41-206","ENST00000444133.6","TAMM41-205",0.680478648466362,-0.745181017668862
"ENSG00000176014.13","TUBB6",48,"PID_S1P_S1P1_PATHWAY",1.22460885600687,FALSE,20,48,0,"ENST00000317702.10","TUBB6-201","ENST00000591909.5","TUBB6-213",0.600921097021435,-0.623687758985438
"ENSG00000250644.3","ENSG00000250644",48,"EIF4E_UP",1.26017747369757,FALSE,9,11,15,"ENST00000636615.1","ENST00000636615","ENST00000636397.1","ENST00000636397",0.630522418501918,-0.629655055195652
"ENSG00000197020.12","ZNF100",47,"GCNP_SHH_UP_LATE.V1_DN",1.32183950415413,FALSE,0,4,37,"ENST00000358296.11","ZNF100-202","ENST00000305570.10","ZNF100-201",0.657336702381647,-0.664502801772479
"ENSG00000113595.15","TRIM23",45,"CYCLIN_D1_KE_.V1_UP",1.31349001844366,FALSE,0,0,39,"ENST00000231524.14","TRIM23-201","ENST00000274327.11","TRIM23-202",0.688156718822389,-0.625333299621274
"ENSG00000173039.20","RELA",45,"SIRNA_EIF4GI_UP",1.30504098559843,FALSE,1,0,21,"ENST00000406246.8","RELA-202","ENST00000612991.4","RELA-226",0.700580999596475,-0.604459986001952
"ENSG00000180263.14","FGD6",45,"CAMP_UP.V1_UP",1.38191296907003,FALSE,0,2,25,"ENST00000343958.9","FGD6-201","ENST00000549499.1","FGD6-205",0.692324284721887,-0.689588684348142
"ENSG00000100600.15","LGMN",44,"CAMP_UP.V1_UP",1.31414923372727,FALSE,0,0,24,"ENST00000334869.9","LGMN-201","ENST00000555699.5","LGMN-211",0.629465294208472,-0.684683939518798
"ENSG00000197982.14","C1orf122",44,"PDGF_ERK_DN.V1_DN",1.29724354332198,FALSE,0,0,16,"ENST00000468084.1","C1orf122-204","ENST00000373042.5","C1orf122-201",0.666136248723358,-0.631107294598622
